Variable,Insured mean,sd,N,Voluntarily uninsured mean,sd,N,Non-voluntarily uninsured mean,sd,N,Overall mean,sd,N,
debts4, .25099285, .43364182,      3777,    .21875,   .415023,       128,     .2375, .42581733,       800, .24782147, .43179349,      4705,
debts5, .18877416, .39138093,      3777,  .1171875, .32290741,       128,    .15875, .36567141,       800, .18172157, .38565588,      4705,
debts6, .09769658, .29694327,      3777,   .078125, .26942268,       128,    .07375, .26152712,       800, .09309245, .29059284,      4705,
debts7, .04527403, .20793205,      3777,  .0390625, .19450497,       128,    .02875, .16720761,       800, .04229543, .20128373,      4705,
debts8, .01164946, .10731634,      3777,   .015625,  .1245069,       128,      .005,  .0705778,       800, .01062699, .10254899,      4705,
net1, .63828145, .48055973,      3887, .51492537, .50165253,       134,  .4912075, .50021598,       853, .60915059, .48799078,      4874,
net2, .16619501, .37230349,      3887, .20149254, .40262019,       134, .20750293, .40575667,       853, .17439475,  .3794875,      4874,
net3, .19552354, .39665421,      3887, .28358209, .45242771,       134, .30128957, .45908741,       853, .21645466, .41186993,      4874,
rent_own,  .4529148, .49784006,      4014, .28289474, .45189466,       152, .24613687, .43099715,       906, .41088328, .49204262,      5072,
add_extraversion, 10.758319, 3.0573651,      3997, 10.934211, 3.2011402,       152, 10.928177, 3.1943554,       905, 10.794025, 3.0868611,      5054,
add_agreeable, 8.6226557, 2.3980768,      3999, 9.2450331, 2.5715544,       151, 8.9933702,  2.427707,       905, 8.7076162,  2.414254,      5055,
add_conscientious,  9.280969, 2.7450093,      4004, 9.4569536, 2.3201583,       151, 9.6931567, 2.5642458,       906, 9.3600079, 2.7058736,      5061,
add_openness, 9.4408194, 2.4573597,      3954, 9.7466667, 2.3176784,       150, 9.4688889, 2.5246568,       900,  9.455036, 2.4656295,      5004,
add_neuroticism,  13.69031, 2.7639223,      4004, 13.331126, 2.8559222,       151, 13.200883, 2.7670994,       906, 13.591978, 2.7734068,      5061,
fac_agreeable,-.03732151, .80297288,      3944, .23870623, .85697908,       150, .12301127, .80946637,       897,-.00021018, .80907214,      4991,
fac_extraversion,-.00295825, .81387667,      3944, .00611628, .84719633,       150, .01354202, .83891699,       897, .00027996,  .8193013,      4991,
fac_neurotic, .03258175, .80173128,      3944,-.06740654, .81555693,       150,-.13154538, .81820244,       897, .00007919, .80750252,      4991,
fac_conscientious,-.01830374, .78564552,      3944, .00351705, .67587324,       150,  .0782171, .74558175,       897,-.00030088, .77624122,      4991,
fac_openness, .00645845, .76790404,      3944, .03892264, .73857073,       150,-.03847463, .77999791,       897, -.0006414,  .7693025,      4991,
